rsi,cycle,band,atr,obv,accdist,label
56.52,0.2758,205.2544,0.2456,0,0,false
75.37,0.1823,381.1287,0.3715,0,0,true
66.02,-0.0357,104.4355,0.1691,0,0,false
57.81,0.2211,205.1989,0.2535,451487,-199016.03,false
76.24,0.2239,381.0698,0.3851,653877,254574.95,true
78.29,0.0432,381.0833,0.3961,690190,281509.56,false
78.96,0.0048,381.1249,0.3793,688439,297363.44,false
60.23,-0.0243,205.146,0.2399,971005,277984.6,false
80.68,0.0248,381.3443,0.3975,737774,317752.12,false
67.89,0.062,104.9006,0.1603,6832221,5021124,false
61.76,0.1316,382.6891,0.452,504370,235723.95,false
50.68,0.0742,205.0768,0.2718,492,-55476.88,true
56.61,0.1201,205.1059,0.283,-17147,-27903.97,false
57.95,0.0443,104.7477,0.1407,3979904,3598116.2,true
61.97,0.1523,104.7147,0.1443,4003471,3702581.8,true
