rsi,cycle,band,atr,obv,accdist,label
49.58,-0.0444,198.9187,0.2202,-22647,348660.72,false
49.65,-0.0824,364.279,0.2602,205699,106384.03,false
44,-0.0819,98.9315,0.1523,-3888356,2650766.8,false
43.24,-0.1092,98.889,0.1556,-3838705,2690005.8,false
45.47,-0.1149,198.9293,0.2451,302641,310135.2,false
40.02,-0.1427,198.8632,0.2494,184190,216595.25,false
43.7,-0.0523,364.2265,0.2328,250144,46462.86,true
36.49,-0.1583,198.7665,0.2488,172891,226329.47,false
40.32,-0.0999,364.1685,0.2417,242607,56203.23,true
40.54,0.0208,98.7953,0.1548,-3353085,2929883.8,false
36.69,-0.119,198.6891,0.2466,172139,185670.69,false
44.16,0.017,98.7782,0.1529,-3507867,2703427.8,false
38.16,-0.0206,198.6295,0.2284,205097,175226.75,false
34.54,0.0585,198.4906,0.201,150787,73542.18,false
33.2,-0.0462,198.4095,0.1989,144679,102512.36,false
39.36,-0.0663,98.7129,0.1509,-3357096,2933529.2,false
35.88,-0.0494,198.3517,0.1981,139778,93172.27,false
38.3,-0.0775,98.683,0.1442,-4249712,2804777.8,false
31.91,0.0139,198.2118,0.1906,-60250,-24610.87,false
50.58,-0.0468,364.1425,0.251,135191,54851.68,false
28.81,-0.0283,198.1181,0.203,-36685,-58898.62,false
46.66,-0.0954,364.1594,0.256,63704,60448.82,false
35.53,-0.0111,98.6231,0.1439,-4205099,2282643,false
29.82,-0.0369,198.0375,0.2009,-47424,-55514.42,false
40.59,-0.1367,364.1144,0.2627,91607,59432.09,true
24.86,-0.0367,197.9214,0.2044,-75363,-122841.37,true
36.44,-0.1747,364.0329,0.2662,48493,35454.86,true
34.69,-0.1582,363.9402,0.2653,10202,25754.21,true
29.58,0.0233,197.8427,0.2,-71297,-52904.62,true
37.21,-0.0354,98.6205,0.1622,-3538138,1520232,false
43.37,-0.0588,98.6041,0.1631,-2764634,2013588.1,false
37.99,-0.0236,98.5539,0.1663,-3548884,1505506.5,false
42.15,-0.0133,98.5309,0.1688,-2967571,1747859.8,false
45.34,-0.0509,98.5265,0.1623,-1859182,2533569.2,false
45.86,0.0003,197.9166,0.1934,-302467,-116086.45,true
37.6,-0.0517,98.4821,0.1533,-2049080,1962360.5,true
43.23,-0.0528,98.4786,0.1719,-635671,2397561.2,true
55.24,-0.3962,197.4035,0.4182,-201045,-133677.77,true
61.78,-0.1676,363.643,0.592,5824,21190.21,true
60.26,-0.127,199.094,0.2931,468073,252329.61,true
61.79,-0.147,199.1399,0.2802,570862,328267.66,true
60.29,-0.0231,99.1126,0.1477,4442054,2599501.8,false
67.82,-0.1157,366.3107,0.3077,181368,188146.56,false
58.92,-0.0391,99.3437,0.1389,7784503,2640490.2,false
66.28,-0.2263,199.5838,0.2853,1186237,1329429.6,false
57.01,-0.0463,366.5357,0.3242,97840,151487.78,false
54.16,-0.1562,366.5805,0.3132,84601,152908.75,false
54.17,-0.2015,199.7446,0.2902,1175901,1285791.2,false
50.25,-0.1704,366.6546,0.3164,96020,141544.75,false
49.75,-0.0813,99.3799,0.1408,7397118,2282197.5,false
55.19,-0.1523,199.8421,0.2852,1188424,1242090.8,false
54.59,-0.0814,366.7395,0.3179,80680,126204.75,false
44.17,-0.0819,99.3645,0.1426,7572855,1716600.4,false
45.03,-0.0705,99.3635,0.1369,7624396,1409710.8,false
48.84,0.0147,200.1432,0.2802,1249315,1228516.4,false
41.56,-0.0368,99.3401,0.1344,7604946,1149256.9,false
47.76,-0.0391,200.2196,0.2659,1214170,1225264.8,false
35.15,-0.042,99.2672,0.1408,7373514,963886.5,false
50.71,-0.0136,200.3173,0.2623,1266590,1267647.6,false
45.1,-0.0497,366.9185,0.2971,131965,131216.47,false
33.39,-0.067,99.185,0.1465,6387379,888168.75,true
46.95,-0.0698,366.8696,0.2646,102407,105011.78,false
48.09,-0.0317,200.426,0.2146,1334078,1213257.6,false
50.38,-0.0219,366.8569,0.2674,114516,116112.98,false
39.46,-0.0946,200.3911,0.2282,1214330,1112674.5,false
40.01,-0.0461,366.7748,0.2824,82933,89276.26,false
39.13,-0.0235,98.9721,0.1363,6022361,1356316.9,true
47.65,-0.1138,200.4184,0.2432,1365591,1254254.9,false
41.1,-0.1394,366.7347,0.295,115319,115615.65,false
37.63,-0.0836,98.9694,0.1435,5879584,1860944.9,true
46.29,-0.0444,200.4342,0.2161,948687,1144680,false
41.24,-0.0852,366.6758,0.2726,52295,114071.32,false
48.84,-0.0592,366.672,0.2854,35198,95375,false
42.4,-0.0332,366.7063,0.2486,31760,125462.99,false
38.08,-0.1168,200.4316,0.1761,1237635,1091933.6,false
36.36,-0.1172,366.6476,0.244,44107,125741.11,false
44.16,-0.0547,99.069,0.109,1187949,791783.44,true
46.51,0.0552,200.4146,0.2406,1139923,1064420.6,false
35.54,-0.0876,200.2485,0.272,1009854,956303.8,false
35.88,-0.0989,366.3504,0.404,68710,127525.82,false
40.81,-0.0025,99.0119,0.1679,498232,374283.12,false
30.43,-0.334,200.0238,0.299,823853,837561.5,false
30.6,-0.5769,366.0078,0.4393,39190,102572.75,false
33.6,-0.1942,98.9333,0.1814,-642622,-614010.06,false
40.35,-0.2498,199.9433,0.3283,853919,868116.3,false
36.82,-0.5012,365.8487,0.4674,34879,94059.8,false
40.91,-0.2003,98.9167,0.1925,-626970,-441566.66,false
34.42,-0.0346,98.7636,0.2064,-2126738,-978212.5,false
29.2,-0.0667,199.4061,0.3805,177380,626511.3,false
29.11,0.0193,365.2271,0.5047,17086,70553.32,false
30.21,-0.0632,98.6398,0.2129,-3665564,-1724944.1,false
32.38,-0.1167,199.232,0.4122,455286,773934.9,false
26.16,-0.2035,364.8655,0.5533,-13830,83311.14,false
29.24,-0.0677,98.5249,0.2243,-4061851,-451558.9,false
29.05,-0.0594,98.1514,0.2631,-5712701,-1368508.5,false
31.37,-0.1191,198.6334,0.4555,242193,497151.97,true
28.54,-0.121,363.7163,0.5893,-46625,59420.29,true
27.73,-0.09,98.0534,0.249,-6604836,-1689880.5,false
30.54,-0.0906,198.5333,0.4241,6388,344621.1,true
27.62,-0.0942,363.5265,0.5571,-79068,42717.22,true
26.79,-0.0511,97.9624,0.2434,-7841819,-1268156.4,true
26.76,-0.0388,363.3591,0.5157,-112597,23169.96,true
29.69,0.0253,198.3986,0.3898,-394655,111817.1,true
